2026-02-01 10:02:59,316 | [INFO] | smart_agri_logger | create_crop_listing | Line 75 | Processing new crop listing: Watermelon
2026-02-01 10:04:04,291 | [INFO] | smart_agri_logger | create_crop_listing | Line 75 | Processing new crop listing: Watermelon
2026-02-01 10:04:41,477 | [INFO] | smart_agri_logger | create_crop_listing | Line 75 | Processing new crop listing: Watermelon
2026-02-01 10:05:53,729 | [INFO] | smart_agri_logger | create_crop_listing | Line 75 | Processing new crop listing: Watermelon
2026-02-01 10:05:53,769 | [INFO] | smart_agri_logger | create_crop_listing | Line 75 | Processing new crop listing: Watermelon
2026-02-01 10:05:53,788 | [INFO] | smart_agri_logger | create_crop_listing | Line 75 | Processing new crop listing: Watermelon
2026-02-01 10:05:53,876 | [INFO] | smart_agri_logger | create_crop_listing | Line 75 | Processing new crop listing: Watermelon
2026-02-01 10:06:17,029 | [INFO] | smart_agri_logger | create_crop_listing | Line 75 | Processing new crop listing: Watermelon
2026-02-01 10:06:17,034 | [INFO] | smart_agri_logger | create_crop_listing | Line 108 | Uploading image to Cloudinary...
2026-02-01 10:06:17,086 | [INFO] | smart_agri_logger | create_crop_listing | Line 133 | Crop 'Watermelon' added successfully with ID 928134b1-a8a2-4df6-a62e-2c0ba118889c
2026-02-01 10:06:47,378 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:06:48,449 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:06:50,469 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:06:55,460 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:06:56,552 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:06:59,395 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:08:27,614 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:11:38,802 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:11:41,694 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:14:24,912 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:14:27,299 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:14:27,477 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:14:27,905 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:14:28,212 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:14:28,412 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:14:28,593 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:14:28,843 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:14:29,150 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:14:29,325 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:14:55,820 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:14:56,111 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:15:11,184 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:16:22,240 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:16:30,479 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:16:48,522 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:16:56,670 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:17:08,377 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
2026-02-01 10:17:22,490 | [INFO] | smart_agri_logger | get_all_crops | Line 232 | Fetched 26 crops (skip=0, limit=100)
